Code,Description
B05C,I.V. solutions
D04A,"Antipruritics, including antihistamines, anesthetics, etc."
B05X,I.V. solution additives
G01A,"Anti infectives and antiseptics, excluding combinations with corticosteroids"
H03A,Thyroid preparations
N07B,Drugs used in addictive disorders
N07A,Parasympathomimetic drugs
A10B,"Blood glucose lowering drugs, excluding insulins"
B02B,Vitamin K and other hemostatics
N07X,Other nervous system drugs
S02D,Other otologicals
S02C,Corticosteroids and anti-infectives in combination
S02B,Corticosteroids
S02A,Anti-infectives
J04A,Drugs for treatment of tuberculosis
C01B,Class 1 and 3 antiarrhythmic drugs
C01C,Cardiac stimulants excluding cardiac glycosides
C01A,Cardiac glycosides list
C01D,Vasodilators used in cardiac diseases
C01E,Other cardiac preparations
G02C,Other gynecologicals
G02A,Uterotonics
H02B,"Corticosteroids for systemic use, combinations"
M01A,"Anti-inflammatory and antirheumatic products, non-steroids"
M01B,Anti-inflammatory/antirheumatic agents in combination
H02A,"Corticosteroids for systemic use, plain"
R06A,Antihistamines for systemic use
V03A,All other therapeutic products
N06A,Antidepressant drugs
N06B,"Psychostimulants, agents used for ADHD and nootropics"
N06C,Psycholeptics and psychoanaleptics in combination
A03B,"Belladonna and derivatives, plain"
A03C,Antispasmodics in combination with psycholeptics
C08G,Calcium channel blockers and diuretics
A03A,Drugs for functional bowel disorders
A03F,Propulsives
S03A,Anti-infectives
S03B,"Corticosteroids, plain"
S03C,Corticosteroids and anti-infectives in combination
D06B,Chemotherapeutics for topical use
D06A,Antibiotics for topical use
C08D,Selective calcium channel blockers with direct cardiac effects
C10A,"Lipid modifying agents, plain"
C10B,"Lipid modifying agents, combinations"
D10A,Topical acne drugs
M02A,Topical products for joint and muscular pain
A02B,Drugs for peptic ulcer and gastro-oesophageal reflux disease
J02A,Antimycotics for systemic use
A12B,Potassium
A06A,Drugs for constipation
R05C,"Expectorants, excluding combinations with cough suppressants"
N05A,Antipsychotic drugs
R05D,"Cough suppressants, excluding combinations with expectorants"
N05C,Hypnotics and sedatives drugs
N05B,Anxiolytic drugs
A02A,Antacid drugs (Stomach acid drugs)
V04C,Other diagnostic agents
V08A,"X-ray contrast media, iodinated"
C07A,Beta blocking agents
C07B,Beta blocking agents and thiazides
C07C,Beta blocking agents and other diuretics
C07D,"Beta blocking agents, thiazides and other diuretics"
C07F,Beta blocking agents and other antihypertensives
D11A,Other dermatological preparations
H04A,Glycogenolytic hormones
S01X,Other ophthalmologicals
L01X,Other antineoplastic agents
M03B,"Muscle relaxants, centrally acting agents"
M03A,"Muscle relaxants, peripherally acting agents"
N04B,Dopaminergic agents
N04A,Anticholinergic agents for Parkinson
G04B,Urologicals
B03X,Other antianemic preparations
S01H,Local anesthetics
C08C,Selective calcium channel blockers with mainly vascular effects
A11G,"Ascorbic acid (vitamin C), including combinations"
J05A,Direct acting antiviral drugs
A11H,Other plain vitamin preparations
S01A,Eye Anti-infectives
S01F,Mydriatics and cycloplegics
S01G,Decongestants and antiallergics
S01E,Antiglaucoma preparations and miotics
G04C,Drugs used in benign prostatic hypertrophy
A07D,Antipropulsives
A07E,Intestinal anti-inflammatory agents
A07A,Intestinal anti-infectives
M04A,Antigout preparations
D08A,Antiseptics and disinfectants
R03D,Other systemic drugs for obstructive airway diseases
R03C,Adrenergics for systemic use
R03B,"Other drugs for obstructive airway diseases, inhalants"
R03A,"Adrenergics, inhalants"
N03A,Antiepileptic drugs
A04A,Antiemetics and antinauseants
A10A,Insulins and analogues
D07A,"Corticosteroids, plain"
D07C,"Corticosteroids, combinations with antibiotics"
D07B,"Corticosteroids, combinations with antiseptics"
D07X,"Corticosteroids, other combinations"
M05B,Drugs affecting bone structure and mineralization
C05B,Antivaricose therapy
C05A,Agents for treatment of hemorrhoids and anal fissures for topical use
R02A,Throat drugs
N02A,Opioid drugs list
N02B,Other analgesics and antipyretics
N02C,Migraine medication
B01A,Antithrombotic agents
C02L,Antihypertensives and diuretics in combination
C02D,"Arteriolar smooth muscle, agents acting on"
C02A,"Antiadrenergic agents, centrally acting"
H01B,Posterior pituitary lobe hormones
A08A,"Anti obesity drugs list, excluding diet products"
A12A,Calcium
C09X,Other agents acting on the renin-angiotensin system
A12C,Other mineral supplements
R01A,Decongestants and other nasal preparations for topical use
A11C,"Vitamin A and D, including combinations of the two"
R01B,Nasal decongestants for systemic use
C09B,"ACE inhibitors, combinations"
C09C,"Angiotensin II antagonists, plain"
C09A,"ACE inhibitors, plain"
C09D,"Angiotensin II antagonists, combinations"
N01A,General anesthetics list
N01B,Local anesthesia drugs
A11D,"Vitamin B1, plain and in combination with vitamin B6 and B12"
B03A,Iron preparations
C03D,Potassium-sparing agents
C03E,Diuretics and potassium-sparing agents in combination
D01A,Antifungals for topical use
C03A,"Low-ceiling diuretics, thiazides"
C03C,High-ceiling diuretics
S01B,Anti-inflammatory agents
P01A,Agents against amoebiasis and other protozoal diseases
S01C,Anti-inflammatory agents and anti-infectives in combination
D09A,Medicated dressings
B03B,Vitamin B12 and folic acid
A09A,"Digestives, including enzymes"
J01R,Combinations of antibacterials
J01X,Other antibacterial drugs
J01E,Sulfonamides and trimethoprim
J01D,Other beta-lactam antibacterials
J01G,Aminoglycoside antibacterials
J01F,"Macrolides, lincosamides and streptogramins"
J01A,Tetracyclines
J01C,"Beta lactam antibiotics, penicillins"
J01M,Quinolone antibacterials
A01A,Stomatological preparations